id  |               frame_id               | camera_id  |          captured_at          | x1  | y1  | x2  | y2  | confidence 
 137 | 5924fd0e-982a-44da-ab84-58e641b9c98f | cam-tcp-01 | 2026-06-15 04:02:56.751017+00 |  95 | 185 | 410 | 479 |     0.8366
 136 | 668a47c3-80bb-483f-a1a3-00c318312a1a | cam-tcp-01 | 2026-06-15 04:02:56.55066+00  |  96 | 183 | 412 | 479 |      0.878
 135 | 939d58f0-7060-439b-adaf-1a380feee431 | cam-tcp-01 | 2026-06-15 04:02:56.350449+00 | 106 | 183 | 414 | 479 |     0.8708
 134 | b2d35a40-dd1a-42cf-bf93-9fd1605211e1 | cam-tcp-01 | 2026-06-15 04:02:56.152581+00 | 113 | 183 | 418 | 479 |     0.8942
 133 | 20cd3972-273d-46e8-8962-85f222bfe862 | cam-tcp-01 | 2026-06-15 04:02:55.948636+00 | 112 | 181 | 414 | 479 |     0.8885
 132 | c215e793-777b-4c83-9887-f922f4f57931 | cam-tcp-01 | 2026-06-15 04:02:55.749238+00 | 112 | 183 | 414 | 479 |     0.8969
 131 | 98ae1d6a-15f0-45c4-b185-5bc56fc90f22 | cam-tcp-01 | 2026-06-15 04:02:55.549856+00 | 114 | 182 | 413 | 479 |      0.886
 130 | 1cf54302-c8a5-442f-b9b8-a24a77795854 | cam-tcp-01 | 2026-06-15 04:02:55.353096+00 | 115 | 182 | 412 | 479 |     0.8901
 129 | a3cb8a21-d8ea-4f8e-aae0-324c0f933020 | cam-tcp-01 | 2026-06-15 04:02:55.147964+00 | 117 | 184 | 409 | 479 |     0.8725
 128 | ba257b81-fac6-4bab-93da-9f1ca4fa3f19 | cam-tcp-01 | 2026-06-15 04:02:54.948658+00 | 127 | 183 | 404 | 479 |     0.8275
 127 | 74fdcc75-f316-41e4-b10e-3b4dc8864c41 | cam-tcp-01 | 2026-06-15 04:02:54.746961+00 | 137 | 185 | 404 | 479 |     0.7755
 126 | b6b860c9-9b31-4e21-8bfe-4325916dae69 | cam-tcp-01 | 2026-06-15 04:02:54.549176+00 | 154 | 193 | 411 | 479 |     0.6555
 125 | f6ad310d-6aab-454c-84af-b8ebd289918d | cam-tcp-01 | 2026-06-15 04:02:54.484927+00 | 143 | 198 | 397 | 479 |     0.5116
